player_name,gamesPlayed,points
String ,numeric,numeric
Nick Manis,3,0
Christian Mazzone,4,5
Kyle Harrison,1,1
Bryce Wasserman,2,0
Kyle Thornton,2,0
Jamie Trimboli,1,0
Tanner Cook,1,3
Colin Squires,3,0
Peter Dearth,2,0
Brian Phipps,1,0
CJ Costabile,3,3
Kevin Reisman,1,0
Kyle Jackson,2,6
Ryan McNamara,5,5
Jackson Place,1,0
Tate Boyce,1,0
Drew Simoneau,1,0
Christian Cuccinello,1,0
Ben McIntosh,1,0
Joe Walters,1,1
Eric Scott,2,0
Kevin Unterstein,1,0
Brendan Fowler,1,0
Justin Guterding,3,5
Jared Conners,1,0
Austin Staats,1,0
Dox Aitken,2,2
Charlie Bertrand,1,4
Matt Abbott,3,2
Zed Williams,3,16
Connor Kirst,3,1
Chris Aslanian,1,0
Brad Smith,3,9
Ethan Walker,1,2
Michael Sowers,1,3
Matt Whitcher,1,0
Ben Randall,1,0
Ryland Rees,1,0
Zach Currier,1,1
Connor Kelly,1,1
Eli Gobrecht,1,0
Tim Muller,3,1
Mikie Schlosser,1,0
Liam Byrnes,1,0
Jake Withers,1,0
Matt DeLuca,1,0
Chris Sabia,1,0
Ryan Conrad,1,0
Steven DeNapoli,1,0
Ryan Brown,1,2
Dillon Ward,1,0
Ryder Garnsey,1,2
Jules Heningburg,1,6
Jack Near,1,0
Eddy Glazener,1,0
Myles Jones,1,0
Ryan Smith,3,2
Kyle Gallagher,2,0
Mac O'Keefe,3,3
Max Adler,3,0
Wes Berg,3,1
Jarrod Neumann,3,0
Jake Carraway,2,5
Jeff Teat,2,7
Daniel Bucaro,2,0
Andrew Newbold,2,0
Michael Rexrode,2,0
Mark Cockerton,2,5
Bryan Costabile,2,5
Trevor Baptiste,2,1
Johnny Surdick,3,0
Jack Rowlett,3,1
Austin Kaut,3,0
Stephen Rehfuss,1,1
Jack Kielty,1,0
Tim Edwards,1,0
Shayne Jackson,1,4
Ryan Drenner,1,1
Paul Rabil,1,3
Jacob Stover,1,0
Lyle Thompson,1,3
Jake Pulver,1,1
Holden Garlent,1,0
Zach Goodrich,1,0
Reece Eddy,1,0
Tyson Bell,1,2
Brodie Merrill,1,0
Nick Marrocco,1,0
John Haus,2,3
Mike Chanenchuk,3,4
Michael Ehrhardt,3,1
Matt Rambo,3,6
Jay Carlson,3,7
Bryce Young,3,0
Conor Gaffney,1,0
Tre Leclaire,1,1
Grant Ament,1,5
Tom Schreiber,1,2
Stephen Kelly,1,0
Matthew Dunn,3,0
Joseph Nardella,3,1
Jake Bernhardt,3,0
Jeff Trainor,1,0
Latrell Harris,1,0
Warren Jeffrey,1,0
Graeme Hossack,1,0
Connor Fields,1,3
Will Manny,1,1
Scott Ratliff,1,1
Kyle Bernlohr,3,0
Ryan Ambler,1,2
Mark McNeill,1,0
Kieran McArdle,1,6
Isaiah Davis-Allen,1,0
Finn Sullivan,1,0
Rob Pannell,1,4
Matt Kavanagh,1,3
John Sexton,1,0
Garrett Epple,1,0
Kyle Hartzell,1,0
Chase Fraser,3,8
Troy Reh,3,2
Tim Troutner,1,0
Jack Kelly,1,0
Patrick Resch,3,0
Matt Rees,1,0
Mark Glicini,3,0
Josh Byrne,3,11
Dhane Smith,3,18
Dan Coates,1,0
Chris Cloutier,2,6
Ian MacKay,3,1
Danny Logan,2,1
Craig Chick,2,0
Cade Van Raaphorst,2,0
Romar Dennis,2,1
Tucker Durkin,2,0
Jake Richard,2,0
Eric Law,2,10
Matt McMahon,1,0
Marcus Holman,1,1
Dominique Alexander,1,0
JD Colarusso,2,0
Blaze Riorden,3,2
Jack Concannon,1,0
Drew Adams,1,0
Adam Ghitelman,1,0
Sergio Salcido,3,1
