X,Y,Z
numeric,numeric,numeric
-10.89249,-5.74544,-3.83937
-10.79771,-4.67789,-4.89209
-11.00712,-4.80207,-4.89514
-11.33786,-5.67889,-4.15963
-10.10037,-5.63890,-4.67966
-10.47082,-4.77941,-4.29156
-9.20726,-4.27508,-3.43280
-10.15164,-6.10099,-4.36276
-10.20994,-5.09849,-3.97782
-10.68111,-5.25562,-4.80301
-10.15639,-5.69988,-3.10885
-9.71270,-4.99972,-3.49695
-9.15114,-5.72503,-2.56175
-9.74408,-5.11291,-3.42741
-9.36433,-4.96626,-3.13854
-7.84190,-4.02126,-1.76486
-9.02775,-6.03879,-2.12578
-8.94072,-4.99703,-2.59881
-6.91570,-3.76163,-2.28635
-8.40621,-4.87496,-2.33313
-8.61356,-5.06103,-2.25165
-7.69690,-3.58270,-1.48861
-8.35211,-5.23309,-2.06416
-8.14763,-4.95316,-1.84002
-7.08799,-3.15563,-1.19546
-7.58880,-5.42226,-1.12427
-7.66949,-5.01561,-1.29579
-8.14872,-3.74476,-1.03465
-6.81578,-4.19269,-1.20878
-7.45194,-5.07325,-0.95837
-7.58696,-4.69258,-0.48604
-7.11899,-4.06101,-0.30477
-6.91113,-4.98285,-0.59563
-4.77927,-5.66762,2.80031
-3.20403,-6.60541,3.10539
-2.79741,-5.73522,3.35028
-3.31288,-4.97213,3.31243
-7.92314,-1.25893,-1.24458
-11.03255,0.99060,-5.24720
-8.77611,2.55447,-2.25646
-4.70965,2.88717,1.97625
-6.32429,4.78854,-0.73827
-4.30592,6.33035,2.58736
-2.94331,11.84415,3.12757
-8.79519,-3.29109,-6.10945
-9.52026,-4.48005,-4.98883
-10.22347,-5.05439,-5.07270
-5.45138,-3.93865,-0.98897
-6.34988,-4.97617,-0.60654
-6.28095,-5.29000,-0.75667
-1.71060,-4.38693,3.20234
-1.91962,-4.01353,3.17572
-2.66035,-5.05819,3.11804
-9.06233,-0.00187,-4.56121
-7.75772,-4.77109,-5.96521
-9.95751,-5.52745,-5.59623
-9.59620,-4.90307,-5.33661
-5.94822,-4.62620,-1.42334
-5.32984,-6.09883,-1.21493
-5.56057,-5.18563,-0.99602
-1.68761,-5.51424,2.67793
-1.22165,-4.06401,2.74674
-1.99854,-4.83704,2.97807
-7.21346,-3.48237,-2.66040
-2.27055,-0.27262,2.64445
-5.94002,2.19843,-1.73014
-3.70947,4.42211,1.11580
-7.33187,6.29636,-2.91466
-8.46546,-4.26226,-5.69689
-8.50423,-5.72329,-5.76566
-8.94364,-5.11761,-5.55233
-3.84268,-3.51145,-1.01601
-4.27940,-5.85891,-0.95240
-4.90434,-4.97151,-1.20257
-1.55300,-4.84766,0.79358
-0.57436,-6.32247,3.81180
-1.49643,-4.65410,3.21411
-1.23848,-5.03102,2.61117
-6.90749,1.15232,-2.66027
-3.54283,7.42991,-0.32370
-4.19358,8.34536,0.27860
-8.77727,-5.83077,-5.70538
-7.89491,-7.15886,-5.73300
-8.21855,-5.09460,-5.84575
-4.23536,-5.39887,-1.58012
-3.72485,-5.71590,-1.00246
-4.17767,-5.07285,-1.60776
-0.34802,-3.37491,2.11207
-0.03117,-4.12367,2.36249
-0.55786,-4.96622,2.38490
-6.03032,-4.71840,-5.36489
-3.40287,2.72249,-2.23344
-4.83958,15.48216,-2.42679
-5.90119,15.60062,-0.75031
-6.90763,-4.35423,-6.28230
-7.64547,-5.49661,-5.71194
-7.48393,-5.04209,-6.08700
-3.54405,-4.27525,-2.00795
-3.32282,-5.49022,-1.77043
-3.39262,-5.03237,-1.74738
-0.59647,-5.50458,1.35771
0.47922,-4.56053,2.42223
0.09660,-5.13947,2.11776
0.05620,-3.29603,1.52045
-5.62662,-1.87911,-4.29658
0.13420,4.34649,2.53345
-1.77658,10.45597,1.08431
-8.31512,13.78315,-4.43274
-8.34751,-4.61987,-6.50669
-6.68961,-4.23667,-5.97959
-6.75175,-4.87883,-6.35669
-1.65073,-4.69274,-2.93965
-2.78024,-6.39205,-2.01729
-2.68014,-5.05352,-2.00911
-1.00275,-4.39609,1.76182
0.09117,-5.24424,1.32032
0.81458,-4.93341,1.89240
-5.54764,2.41574,-5.19042
-4.47490,6.00383,-4.21807
-3.72003,4.07580,-3.40937
-5.44346,8.83279,-5.31284
-7.26544,-3.16531,-6.95090
-5.61680,-3.76977,-6.61484
-6.13769,-4.80770,-6.60738
-2.26795,-5.39420,-1.60174
-1.53254,-4.51209,-2.43916
-2.04418,-5.18702,-2.15602
1.61297,-4.16547,2.07560
1.77529,-3.99646,1.97152
1.65767,-4.80588,1.60120
2.32550,-2.88064,1.35362
-0.70368,1.47923,-1.75140
